tanggal,ph,temperature,turbinity,label
2023-06-10 00:42:35,5.66,25.62,5,bersih
2023-06-10 00:42:40,5.59,25.69,5,bersih
2023-06-10 00:42:46,5.68,25.69,5,bersih
2023-06-10 00:42:52,5.61,25.69,5,bersih
2023-06-10 00:42:57,5.7,25.69,5,bersih
2023-06-10 00:43:03,5.68,25.69,5,bersih
2023-06-10 00:43:09,5.65,25.69,5,bersih
2023-06-10 00:43:14,5.59,25.69,6,bersih
2023-06-10 00:43:20,5.73,25.69,5,bersih
2023-06-10 00:43:26,5.63,25.69,5,bersih
2023-06-10 00:43:31,5.63,25.69,5,bersih
2023-06-10 00:43:37,5.59,25.69,5,bersih
2023-06-10 00:43:43,5.7,25.69,5,bersih
2023-06-10 00:43:49,5.59,25.69,5,bersih
2023-06-10 00:43:54,5.59,25.69,5,bersih
2023-06-10 00:44:00,5.6,25.69,5,bersih
2023-06-10 00:44:06,5.66,25.69,5,bersih
2023-06-10 00:44:11,5.71,25.62,5,bersih
2023-06-10 00:44:17,5.63,25.69,5,bersih
2023-06-10 00:44:23,5.7,25.69,5,bersih
2023-06-10 00:44:28,5.73,25.69,5,bersih
2023-06-10 00:44:34,5.68,25.69,5,bersih
2023-06-10 00:44:40,5.59,25.69,5,bersih
2023-06-10 00:44:46,5.62,25.69,5,bersih
2023-06-10 00:44:51,5.62,25.69,5,bersih
2023-06-10 00:44:57,5.7,25.69,5,bersih
2023-06-10 00:45:03,5.62,25.69,5,bersih
2023-06-10 00:45:08,5.67,25.69,5,bersih
2023-06-10 00:45:14,5.6,25.69,5,bersih
2023-06-10 00:45:20,5.69,25.69,5,bersih
2023-06-10 00:45:25,5.67,25.62,5,bersih
2023-06-10 00:45:32,5.65,25.69,5,bersih
2023-06-10 00:45:37,5.71,25.69,5,bersih
2023-06-10 00:45:43,5.77,25.62,5,bersih
2023-06-10 00:45:49,5.63,25.69,5,bersih
2023-06-10 00:45:54,5.59,25.69,5,bersih
2023-06-10 00:46:00,5.67,25.62,5,bersih
2023-06-10 00:46:06,5.62,25.62,5,bersih
2023-06-10 00:46:12,5.31,25.62,5,bersih
2023-06-10 00:46:17,5.59,25.69,5,bersih
2023-06-10 00:46:23,5.86,25.69,5,bersih
2023-06-10 00:46:29,5.68,25.69,5,bersih
2023-06-10 00:46:34,5.71,25.69,5,bersih
2023-06-10 00:46:40,5.62,25.69,5,bersih
2023-06-10 00:46:46,5.71,25.69,5,bersih
2023-06-10 00:46:51,5.59,25.62,5,bersih
2023-06-10 00:46:57,5.71,25.62,5,bersih
2023-06-10 00:47:03,5.71,25.69,5,bersih
2023-06-10 00:47:08,5.67,25.69,5,bersih
2023-06-10 00:47:14,5.61,25.69,5,bersih
2023-06-10 00:47:20,5.66,25.69,5,bersih
2023-06-10 00:47:26,5.59,25.69,5,bersih
2023-06-10 00:47:31,5.57,25.69,5,bersih
2023-06-10 00:47:37,5.66,25.69,5,bersih
2023-06-10 00:47:43,5.68,25.62,5,bersih
2023-06-10 00:47:48,5.64,25.62,5,bersih
2023-06-10 00:47:54,5.58,25.69,5,bersih
2023-06-10 00:48:00,5.59,25.69,5,bersih
2023-06-10 00:48:05,5.7,25.69,5,bersih
2023-06-10 00:48:11,5.63,25.62,5,bersih
2023-06-10 00:48:17,5.67,25.69,5,bersih
2023-06-10 00:48:22,5.6,25.62,5,bersih
2023-06-10 00:48:28,5.59,25.69,5,bersih
2023-06-10 00:48:34,5.57,25.62,5,bersih
2023-06-10 00:48:40,5.59,25.69,5,bersih
2023-06-10 00:48:46,5.65,25.62,5,bersih
2023-06-10 00:48:52,5.62,25.69,5,bersih
2023-06-10 00:48:57,5.65,25.62,5,bersih
2023-06-10 00:49:03,5.6,25.62,5,bersih
2023-06-10 00:49:09,5.65,25.62,5,bersih
2023-06-10 00:49:14,5.6,25.62,5,bersih
2023-06-10 00:49:20,5.73,25.69,5,bersih
2023-06-10 00:49:26,5.62,25.62,5,bersih
2023-06-10 00:49:31,5.59,25.62,5,bersih
2023-06-10 00:49:37,5.68,25.69,5,bersih
2023-06-10 00:49:43,5.58,25.62,5,bersih
2023-06-10 00:49:48,5.62,25.62,5,bersih
2023-06-10 00:49:54,5.61,25.62,5,bersih
2023-06-10 00:50:00,5.71,25.69,5,bersih
2023-06-10 00:50:06,5.57,25.62,5,bersih
2023-06-10 00:50:11,5.65,25.62,5,bersih
2023-06-10 00:50:17,5.67,25.62,5,bersih
2023-06-10 00:50:23,5.63,25.62,5,bersih
2023-06-10 00:50:28,5.59,25.69,5,bersih
2023-06-10 00:50:34,5.62,25.69,5,bersih
2023-06-10 00:50:40,5.59,25.62,5,bersih
2023-06-10 00:50:45,5.74,25.62,5,bersih
2023-06-10 00:50:51,5.61,25.62,5,bersih
2023-06-10 00:50:57,5.64,25.62,5,bersih
2023-06-10 00:51:03,5.6,25.62,5,bersih
2023-06-10 00:51:08,5.6,25.69,5,bersih
2023-06-10 00:51:14,5.69,25.62,5,bersih
2023-06-10 00:51:20,5.67,25.62,5,bersih
2023-06-10 00:51:25,5.59,25.69,5,bersih
2023-06-10 00:51:31,5.59,25.62,5,bersih
2023-06-10 00:51:37,5.59,25.69,5,bersih
2023-06-10 00:51:43,5.71,25.69,5,bersih
2023-06-10 00:51:49,5.58,25.62,5,bersih
2023-06-10 00:51:54,5.59,25.62,5,bersih
2023-06-10 00:52:00,5.62,25.62,5,bersih
2023-06-10 00:52:06,5.68,25.62,5,bersih
2023-06-10 00:52:11,5.66,25.62,5,bersih
2023-06-10 00:52:17,5.7,25.62,5,bersih
2023-06-10 00:52:23,5.62,25.62,5,bersih
2023-06-10 00:52:29,5.55,25.62,5,bersih
2023-06-10 00:52:34,5.59,25.69,5,bersih
2023-06-10 00:52:40,5.6,25.62,5,bersih
2023-06-10 00:52:46,5.68,25.62,5,bersih
2023-06-10 00:52:51,5.71,25.62,5,bersih
2023-06-10 00:52:57,5.61,25.69,5,bersih
2023-06-10 00:53:03,5.6,25.62,5,bersih
2023-06-10 00:53:08,5.66,25.62,5,bersih
2023-06-10 00:53:14,5.68,25.62,5,bersih
2023-06-10 00:53:20,5.68,25.62,5,bersih
2023-06-10 00:53:25,5.68,25.62,5,bersih
2023-06-10 00:53:31,5.62,25.62,5,bersih
2023-06-10 00:53:37,5.59,25.62,5,bersih
2023-06-10 00:53:43,5.63,25.62,5,bersih
2023-06-10 00:53:48,5.7,25.62,5,bersih
2023-06-10 00:53:54,5.67,25.62,5,bersih
2023-06-10 00:54:00,5.68,25.62,5,bersih
2023-06-10 00:54:05,5.62,25.62,5,bersih
2023-06-10 00:54:11,5.64,25.62,5,bersih
2023-06-10 00:54:17,5.62,25.62,5,bersih
2023-06-10 00:54:23,5.61,25.62,5,bersih
2023-06-10 00:54:28,5.68,25.62,6,bersih
2023-06-10 00:54:34,5.67,25.62,5,bersih
2023-06-10 00:54:40,5.58,25.62,5,bersih
2023-06-10 00:54:46,5.71,25.62,5,bersih
2023-06-10 00:54:52,5.6,25.62,5,bersih
2023-06-10 00:54:57,5.7,25.62,5,bersih
2023-06-10 00:55:03,5.66,25.62,5,bersih
2023-06-10 00:55:09,5.64,25.62,5,bersih
2023-06-10 00:55:14,5.7,25.62,5,bersih
2023-06-10 00:55:20,5.67,25.62,5,bersih
2023-06-10 00:55:26,5.62,25.62,5,bersih
2023-06-10 00:55:32,5.59,25.69,5,bersih
2023-06-10 00:55:37,5.71,25.62,5,bersih
2023-06-10 00:55:43,5.68,25.62,5,bersih
2023-06-10 00:55:49,5.64,25.62,5,bersih
2023-06-10 00:55:54,5.6,25.62,5,bersih
2023-06-10 00:56:00,5.59,25.62,5,bersih
2023-06-10 00:56:06,5.7,25.62,5,bersih
2023-06-10 00:56:11,5.63,25.62,5,bersih
2023-06-10 00:56:17,5.81,25.62,5,bersih
2023-06-10 00:56:23,5.61,25.62,5,bersih
2023-06-10 00:56:29,5.62,25.62,5,bersih
2023-06-10 00:56:34,5.7,25.62,6,bersih
2023-06-10 00:56:40,5.63,25.62,5,bersih
2023-06-10 00:56:46,5.58,25.62,5,bersih
2023-06-10 00:56:51,5.64,25.62,6,bersih
2023-06-10 00:56:57,5.61,25.62,6,bersih
2023-06-10 00:57:03,5.59,25.62,5,bersih
2023-06-10 00:57:08,5.62,25.62,5,bersih
2023-06-10 00:57:14,5.66,25.62,5,bersih
2023-06-10 00:57:20,5.6,25.62,5,bersih
2023-06-10 00:57:26,5.62,25.62,5,bersih
2023-06-10 00:57:31,5.61,25.62,5,bersih
2023-06-10 00:57:37,5.73,25.62,5,bersih
2023-06-10 00:57:43,5.64,25.62,5,bersih
2023-06-10 00:57:49,5.71,25.62,5,bersih
2023-06-10 00:57:55,5.59,25.62,5,bersih
2023-06-10 00:58:00,5.75,25.62,5,bersih
2023-06-10 00:58:06,5.65,25.62,5,bersih
2023-06-10 00:58:12,5.73,25.62,5,bersih
2023-06-10 00:58:17,5.6,25.62,5,bersih
2023-06-10 00:58:23,5.62,25.62,5,bersih
2023-06-10 00:58:29,5.68,25.62,5,bersih
2023-06-10 00:58:34,5.68,25.62,5,bersih
2023-06-10 00:58:40,5.61,25.62,6,bersih
2023-06-10 00:58:46,5.73,25.62,5,bersih
2023-06-10 00:58:52,5.62,25.62,5,bersih
2023-06-10 00:58:57,5.71,25.62,5,bersih
2023-06-10 00:59:03,5.63,25.62,5,bersih
2023-06-10 00:59:09,5.71,25.62,5,bersih
2023-06-10 00:59:14,5.57,25.62,5,bersih
2023-06-10 00:59:20,5.59,25.62,5,bersih
2023-06-10 00:59:26,5.69,25.62,5,bersih
2023-06-10 00:59:31,5.66,25.62,5,bersih
2023-06-10 00:59:37,5.68,25.62,5,bersih
2023-06-10 00:59:43,5.68,25.62,5,bersih
2023-06-10 00:59:48,5.66,25.62,5,bersih
2023-06-10 00:59:54,5.63,25.62,5,bersih
2023-06-10 01:00:00,5.68,25.62,5,bersih
2023-06-10 01:00:06,5.59,25.62,5,bersih
2023-06-10 01:00:11,5.62,25.62,5,bersih
2023-06-10 01:00:17,5.58,25.62,5,bersih
2023-06-10 01:00:23,5.76,25.62,6,bersih
2023-06-10 01:00:28,5.63,25.62,5,bersih
2023-06-10 01:00:34,5.62,25.62,5,bersih
2023-06-10 01:00:40,5.7,25.62,5,bersih
2023-06-10 01:00:46,5.58,25.62,5,bersih
2023-06-10 01:00:52,5.67,25.62,5,bersih
2023-06-10 01:00:57,5.68,25.62,5,bersih
2023-06-10 01:01:03,5.62,25.62,5,bersih
2023-06-10 01:01:09,5.62,25.62,5,bersih
2023-06-10 01:01:15,5.68,25.62,5,bersih
2023-06-10 01:01:20,5.61,25.62,6,bersih
2023-06-10 01:01:26,5.59,25.62,5,bersih
2023-06-10 01:01:32,5.6,25.62,5,bersih
2023-06-10 01:01:37,5.59,25.62,5,bersih
2023-06-10 01:01:43,5.71,25.62,5,bersih
2023-06-10 01:01:49,5.57,25.62,6,bersih
2023-06-10 01:01:54,5.68,25.62,5,bersih
2023-06-10 01:02:00,5.74,25.62,6,bersih
2023-06-10 01:02:06,5.71,25.62,5,bersih
2023-06-10 01:02:12,5.73,25.62,5,bersih
2023-06-10 01:02:17,5.72,25.62,5,bersih
2023-06-10 01:02:23,5.76,25.62,5,bersih
2023-06-10 01:02:29,5.66,25.62,5,bersih
2023-06-10 01:02:34,5.84,25.62,5,bersih
2023-06-10 01:02:40,5.7,25.62,5,bersih
2023-06-10 01:02:46,5.66,25.62,5,bersih
2023-06-10 01:02:51,5.71,25.62,5,bersih
2023-06-10 01:02:57,5.59,25.62,6,bersih
2023-06-10 01:03:03,5.72,25.62,5,bersih
2023-06-10 01:03:09,5.71,25.62,5,bersih
2023-06-10 01:03:14,5.71,25.62,5,bersih
2023-06-10 01:03:20,5.66,25.62,5,bersih
2023-06-10 01:03:26,5.73,25.62,5,bersih
2023-06-10 01:03:31,5.66,25.62,5,bersih
2023-06-10 01:03:37,5.73,25.62,5,bersih
2023-06-10 01:03:43,5.65,25.62,5,bersih
2023-06-10 01:03:49,5.77,25.62,5,bersih
2023-06-10 01:03:55,5.64,25.62,5,bersih
2023-06-10 01:04:00,5.81,25.62,5,bersih
2023-06-10 01:04:06,5.65,25.62,6,bersih
2023-06-10 01:04:12,5.71,25.62,6,bersih
2023-06-10 01:04:18,5.77,25.62,5,bersih
2023-06-10 01:04:23,5.67,25.56,5,bersih
2023-06-10 01:04:29,5.81,25.62,6,bersih
2023-06-10 01:04:35,5.76,25.62,5,bersih
2023-06-10 01:04:40,5.76,25.62,5,bersih
2023-06-10 01:04:46,5.67,25.62,5,bersih
2023-06-10 01:04:52,5.71,25.62,5,bersih
2023-06-10 01:04:57,5.64,25.62,5,bersih
